,loss,accuracy,binary_accuracy,true_positives,true_negatives,false_positives,false_negatives,precision,val_loss,val_accuracy,val_binary_accuracy,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_precision
36,0.27758699655532837,0.26853707432746887,0.8812292814254761,1673.0,51095.0,680.0,6432.0,0.7110072374343872,0.28683874011039734,0.2471655309200287,0.8768896460533142,278.0,9003.0,148.0,1155.0,0.6525821685791016
37,0.27703022956848145,0.2733466923236847,0.8810452818870544,1686.0,51071.0,704.0,6419.0,0.7054393291473389,0.28425708413124084,0.2539682686328888,0.8783069252967834,286.0,9010.0,141.0,1147.0,0.6697892546653748
38,0.27608993649482727,0.27054107189178467,0.8815963864326477,1705.0,51085.0,690.0,6400.0,0.7118998169898987,0.283480167388916,0.2448979616165161,0.8784012794494629,286.0,9011.0,140.0,1147.0,0.67136150598526
39,0.2752167582511902,0.27655309438705444,0.8818804621696472,1719.0,51088.0,687.0,6386.0,0.7144638299942017,0.2834613025188446,0.2471655309200287,0.8784958124160767,297.0,9001.0,150.0,1136.0,0.6644295454025269
40,0.27447089552879333,0.2757515013217926,0.8823649287223816,1771.0,51065.0,710.0,6334.0,0.7138250470161438,0.2831819951534271,0.2448979616165161,0.8773620128631592,288.0,8998.0,153.0,1145.0,0.6530612111091614
41,0.27387532591819763,0.27414828538894653,0.8823312520980835,1746.0,51088.0,687.0,6359.0,0.717632532119751,0.28192704916000366,0.2471655309200287,0.8802908658981323,291.0,9026.0,125.0,1142.0,0.6995192170143127
42,0.27283212542533875,0.2737475037574768,0.8828992247581482,1795.0,51073.0,702.0,6310.0,0.7188626527786255,0.2815783619880676,0.2448979616165161,0.8787792921066284,281.0,9020.0,131.0,1152.0,0.6820388436317444
43,0.272335022687912,0.2713426947593689,0.8830663561820984,1779.0,51099.0,676.0,6326.0,0.7246435880661011,0.2804044187068939,0.2471655309200287,0.8803854584693909,295.0,9023.0,128.0,1138.0,0.6973995566368103
44,0.2715146243572235,0.28136271238327026,0.8838843703269958,1792.0,51135.0,640.0,6313.0,0.7368420958518982,0.280373752117157,0.24943310022354126,0.8792517185211182,299.0,9007.0,144.0,1134.0,0.6749435663223267
45,0.270844429731369,0.2729458808898926,0.8832998871803284,1816.0,51076.0,699.0,6289.0,0.7220675945281982,0.27900803089141846,0.24943310022354126,0.8799131512641907,292.0,9021.0,130.0,1141.0,0.6919431090354919
46,0.2700434923171997,0.2781563103199005,0.883967936038971,1834.0,51098.0,677.0,6271.0,0.7303863167762756,0.2797335088253021,0.24263039231300354,0.8781179189682007,290.0,9004.0,147.0,1143.0,0.6636155843734741
47,0.2693585455417633,0.27454909682273865,0.8844688534736633,1849.0,51113.0,662.0,6256.0,0.7363600134849548,0.2785628139972687,0.25850340723991394,0.8802910447120667,309.0,9008.0,143.0,1124.0,0.6836283206939697
48,0.26889047026634216,0.2733466923236847,0.8844019174575806,1865.0,51093.0,682.0,6240.0,0.732234001159668,0.2775430381298065,0.24943310022354126,0.8806688785552979,304.0,9017.0,134.0,1129.0,0.6940639019012451
49,0.2678990662097931,0.27454909682273865,0.8845024108886719,1866.0,51098.0,677.0,6239.0,0.7337790131568909,0.2773648500442505,0.25850340723991394,0.8808580040931702,297.0,9026.0,125.0,1136.0,0.7037914395332336
50,0.2674044966697693,0.2753506898880005,0.8855041861534119,1913.0,51111.0,664.0,6192.0,0.7423360347747803,0.2765357196331024,0.2539682686328888,0.8809523582458496,313.0,9011.0,140.0,1120.0,0.6909492015838623
51,0.2665151059627533,0.28296592831611633,0.8857882022857666,1931.0,51110.0,665.0,6174.0,0.7438367009162903,0.27581048011779785,0.2471655309200287,0.8811413049697876,305.0,9021.0,130.0,1128.0,0.7011494040489197
52,0.2658469080924988,0.2757515013217926,0.8857882618904114,1952.0,51089.0,686.0,6153.0,0.7399545311927795,0.27499255537986755,0.25623583793640137,0.8813303709030151,299.0,9029.0,122.0,1134.0,0.7102137804031372
53,0.26527997851371765,0.2905811667442322,0.8863228559494019,1954.0,51119.0,656.0,6151.0,0.7486590147018433,0.27464786171913147,0.2471655309200287,0.8805744051933289,300.0,9020.0,131.0,1133.0,0.6960557103157043
54,0.2648703455924988,0.2801603078842163,0.8854042291641235,1931.0,51087.0,688.0,6174.0,0.7373043298721313,0.27432140707969666,0.2607709765434265,0.8820861577987671,294.0,9042.0,109.0,1139.0,0.729528546333313
55,0.26389339566230774,0.2781563103199005,0.8868904113769531,1970.0,51137.0,638.0,6135.0,0.7553681135177612,0.2736145555973053,0.25170066952705383,0.8810468912124634,325.0,9000.0,151.0,1108.0,0.6827731132507324
56,0.2632938623428345,0.28096193075180054,0.8865230679512024,1992.0,51093.0,682.0,6113.0,0.7449513673782349,0.27331098914146423,0.2698412835597992,0.8833144307136536,271.0,9078.0,73.0,1162.0,0.7877907156944275
57,0.2628607153892517,0.2889779508113861,0.8866065144538879,1980.0,51110.0,665.0,6125.0,0.7485822439193726,0.2727750539779663,0.2630385458469391,0.8828420639038086,331.0,9013.0,138.0,1102.0,0.7057569026947021
58,0.26225706934928894,0.28296592831611633,0.8876753449440002,2037.0,51117.0,658.0,6068.0,0.7558441758155823,0.2719089388847351,0.26530611515045166,0.8833144903182983,309.0,9040.0,111.0,1124.0,0.7357142567634583
59,0.26156046986579895,0.2821643352508545,0.8879092931747437,2033.0,51135.0,640.0,6072.0,0.7605686783790588,0.2716820538043976,0.24263039231300354,0.8821806311607361,309.0,9028.0,123.0,1124.0,0.7152777910232544
60,0.2609902024269104,0.28136271238327026,0.887708842754364,2064.0,51092.0,683.0,6041.0,0.7513651251792908,0.27089908719062805,0.2471655309200287,0.8825585246086121,343.0,8998.0,153.0,1090.0,0.6915322542190552
61,0.26042041182518005,0.2841683328151703,0.8882598280906677,2086.0,51103.0,672.0,6019.0,0.7563451528549194,0.27015864849090576,0.2448979616165161,0.8824641704559326,318.0,9022.0,129.0,1115.0,0.7114093899726868
62,0.2598044276237488,0.2889779508113861,0.8882599472999573,2086.0,51103.0,672.0,6019.0,0.7563451528549194,0.2698669135570526,0.24943310022354126,0.8834088444709778,315.0,9035.0,116.0,1118.0,0.7308584451675415
63,0.25912097096443176,0.2837675213813782,0.8882765769958496,2086.0,51104.0,671.0,6019.0,0.7566195130348206,0.26891228556632996,0.2630385458469391,0.8824640512466431,318.0,9022.0,129.0,1115.0,0.7114093899726868
64,0.25871068239212036,0.291382759809494,0.888510525226593,2075.0,51129.0,646.0,6030.0,0.762587308883667,0.26875433325767517,0.2539682686328888,0.8829365968704224,331.0,9014.0,137.0,1102.0,0.7072649598121643
65,0.2578333020210266,0.28496992588043213,0.8893786668777466,2125.0,51131.0,644.0,5980.0,0.7674250602722168,0.2684345543384552,0.2539682686328888,0.8831254243850708,335.0,9012.0,139.0,1098.0,0.7067510485649109
66,0.2573070824146271,0.29178357124328613,0.8890116214752197,2124.0,51110.0,665.0,5981.0,0.7615633010864258,0.267363578081131,0.24943310022354126,0.8838813900947571,346.0,9009.0,142.0,1087.0,0.7090163826942444
67,0.2567397952079773,0.28977957367897034,0.8895793557167053,2148.0,51120.0,655.0,5957.0,0.7663217782974243,0.26725396513938904,0.25170066952705383,0.8840702772140503,338.0,9019.0,132.0,1095.0,0.7191489338874817
68,0.2561151087284088,0.2929859757423401,0.8898294568061829,2178.0,51105.0,670.0,5927.0,0.7647472023963928,0.26658138632774353,0.25623583793640137,0.8833144307136536,328.0,9021.0,130.0,1105.0,0.7161571979522705
69,0.2557940185070038,0.2905811667442322,0.8899298310279846,2176.0,51113.0,662.0,5929.0,0.766737163066864,0.26623210310935974,0.25850340723991394,0.884731650352478,318.0,9046.0,105.0,1115.0,0.7517730593681335
70,0.25514790415763855,0.2905811667442322,0.8904470801353455,2198.0,51122.0,653.0,5907.0,0.7709575295448303,0.26571184396743774,0.28344669938087463,0.884637176990509,350.0,9013.0,138.0,1083.0,0.7172130942344666
71,0.2544640898704529,0.2933867871761322,0.8904308676719666,2201.0,51118.0,657.0,5904.0,0.7701189517974854,0.26516106724739075,0.2630385458469391,0.8848261833190918,355.0,9010.0,141.0,1078.0,0.7157257795333862
72,0.25415390729904175,0.2933867871761322,0.8906146287918091,2233.0,51097.0,678.0,5872.0,0.7670903205871582,0.264605313539505,0.27437642216682434,0.884448230266571,323.0,9038.0,113.0,1110.0,0.7408257126808167
73,0.2534649670124054,0.2933867871761322,0.8910989165306091,2209.0,51150.0,625.0,5896.0,0.7794636487960815,0.26390641927719116,0.24943310022354126,0.8845426440238953,355.0,9007.0,144.0,1078.0,0.711422860622406
