,loss,accuracy,binary_accuracy,top_1_categorical_accuracy,top_3_categorical_accuracy,top_5_categorical_accuracy,truepositive,truenegative,falsepositive,falsenegative,precision,val_loss,val_accuracy,val_binary_accuracy,val_top_1_categorical_accuracy,val_top_3_categorical_accuracy,val_top_5_categorical_accuracy,val_truepositive,val_truenegative,val_falsepositive,val_falsenegative,val_precision
10,0.007623692043125629,0.3338903784751892,0.9975629448890686,0.3338903784751892,0.8459224700927734,0.9862967729568481,10477.0,61156.0,88.0,87.0,0.9916706085205078,0.06757932901382446,0.33081284165382385,0.9807026386260986,0.33081284165382385,0.7523629665374756,0.9527410268783569,1685.0,10766.0,100.0,145.0,0.9439775943756104
11,0.008253722451627254,0.35594919323921204,0.9973816871643066,0.35594919323921204,0.8385695219039917,0.9849599003791809,10461.0,61159.0,85.0,103.0,0.9919400811195374,0.055895544588565826,0.2835538685321808,0.9840894341468811,0.2835538685321808,0.7863894104957581,0.9621928334236145,1700.0,10794.0,72.0,130.0,0.9593679308891296
12,0.0037217719946056604,0.3502673804759979,0.9989556074142456,0.3502673804759979,0.8622994422912598,0.9903075098991394,10522.0,61211.0,33.0,42.0,0.9968734979629517,0.05527235195040703,0.39508506655693054,0.9862161874771118,0.39508506655693054,0.8638941645622253,0.9659735560417175,1737.0,10784.0,82.0,93.0,0.9549202919006348
13,0.00310454610735178,0.3389037549495697,0.999164342880249,0.3389037549495697,0.8385695219039917,0.9876337051391602,10533.0,61215.0,29.0,31.0,0.9972543120384216,0.04921577870845795,0.3251417875289917,0.9878701567649841,0.3251417875289917,0.8071833848953247,0.9754253029823303,1748.0,10794.0,72.0,82.0,0.9604395627975464
14,0.0028637959621846676,0.35260695219039917,0.9991087317466736,0.35260695219039917,0.8402406573295593,0.9866310358047485,10532.0,61212.0,32.0,32.0,0.9969708323478699,0.05798438936471939,0.2344045341014862,0.9856647253036499,0.2344045341014862,0.7958412170410156,0.9697542786598206,1702.0,10812.0,54.0,128.0,0.9692482948303223
15,0.0029689425136893988,0.3439171016216278,0.9990944862365723,0.3439171016216278,0.8248662948608398,0.9903075098991394,10530.0,61213.0,31.0,34.0,0.9970646500587463,0.06097624823451042,0.385633260011673,0.9857436418533325,0.385633260011673,0.8601134419441223,0.967863917350769,1707.0,10808.0,58.0,123.0,0.9671388268470764
16,0.00534114008769393,0.38703209161758423,0.9983842968940735,0.38703209161758423,0.845588207244873,0.989973247051239,10499.0,61193.0,51.0,65.0,0.9951658844947815,0.11961914598941803,0.3402646481990814,0.9704631567001343,0.3402646481990814,0.7844990491867065,0.9338374137878418,1609.0,10712.0,154.0,221.0,0.9126489162445068
17,0.012998525984585285,0.3489304780960083,0.9958358407020569,0.3489304780960083,0.8375668525695801,0.9923128485679626,10408.0,61101.0,143.0,156.0,0.9864467978477478,0.2431047558784485,0.24007561802864075,0.9427377581596375,0.24007561802864075,0.5916824340820312,0.7901701331138611,1219.0,10750.0,116.0,611.0,0.9131085872650146
18,0.01048805471509695,0.34692513942718506,0.9967412948608398,0.34692513942718506,0.8399063944816589,0.9883021116256714,10425.0,61149.0,95.0,139.0,0.9909695982933044,0.13678675889968872,0.44612476229667664,0.9629804491996765,0.44612476229667664,0.8241965770721436,0.9149338603019714,1565.0,10661.0,205.0,265.0,0.8841807842254639
19,0.009423349052667618,0.3850267231464386,0.9968107342720032,0.3850267231464386,0.8355615139007568,0.9872994422912598,10434.0,61145.0,99.0,130.0,0.9906009435653687,0.05122964084148407,0.389413982629776,0.985428512096405,0.389413982629776,0.8752362728118896,0.9773156642913818,1724.0,10787.0,79.0,106.0,0.9561841487884521
