,loss,accuracy,binary_accuracy,true_positives_13,true_negatives_13,false_positives_13,false_negatives_13,precision_13,val_loss,val_accuracy,val_binary_accuracy,val_true_positives_13,val_true_negatives_13,val_false_positives_13,val_false_negatives_13,val_precision_13
14,0.003741599153727293,0.37030473351478577,0.9990845918655396,9861.0,57805.0,31.0,31.0,0.9968661665916443,0.07193315029144287,0.34468936920166016,0.9845524430274963,1591.0,10200.0,59.0,126.0,0.9642423987388611
15,0.0018069340148940682,0.4004252254962921,0.9994979500770569,9875.0,57819.0,17.0,17.0,0.9982814192771912,0.05314680561423302,0.4068136215209961,0.9878089427947998,1629.0,10201.0,58.0,88.0,0.9656194448471069
16,0.009600009769201279,0.3905031979084015,0.9970174431800842,9783.0,57743.0,93.0,109.0,0.9905832409858704,0.08578038960695267,0.2585170269012451,0.9741984605789185,1509.0,10158.0,101.0,208.0,0.9372670650482178
17,0.008997326716780663,0.3834160268306732,0.9972242116928101,9796.0,57744.0,92.0,96.0,0.9906957745552063,0.08593132346868515,0.31863728165626526,0.9780394434928894,1571.0,10142.0,117.0,146.0,0.9306871891021729
18,0.008834386244416237,0.3841247260570526,0.9971946477890015,9788.0,57750.0,86.0,104.0,0.991290271282196,0.07950761914253235,0.3627254366874695,0.9779559373855591,1524.0,10188.0,71.0,193.0,0.9554858803749084
19,0.009473524056375027,0.4060949683189392,0.9970911741256714,9787.0,57744.0,92.0,105.0,0.9906873106956482,0.08660246431827545,0.32665330171585083,0.976118803024292,1595.0,10095.0,164.0,122.0,0.9067652225494385
20,0.005770524963736534,0.37597447633743286,0.9981838464736938,9837.0,57768.0,68.0,55.0,0.9931347966194153,0.07274298369884491,0.44088175892829895,0.9841348528862,1622.0,10164.0,95.0,95.0,0.9446709156036377
21,0.002214842475950718,0.40963855385780334,0.9993798732757568,9870.0,57816.0,20.0,22.0,0.9979777336120605,0.051765214651823044,0.3547094166278839,0.9889779686927795,1630.0,10214.0,45.0,87.0,0.9731343388557434
22,0.00437278114259243,0.41530829668045044,0.998877763748169,9851.0,57801.0,35.0,41.0,0.9964596629142761,0.05756035074591637,0.30260521173477173,0.9864729642868042,1611.0,10203.0,56.0,106.0,0.9664067029953003
23,0.0035706856288015842,0.3848334550857544,0.998981237411499,9855.0,57804.0,32.0,37.0,0.9967634081840515,0.05975162982940674,0.5571142435073853,0.9867234230041504,1624.0,10193.0,66.0,93.0,0.9609467387199402
24,0.002052868250757456,0.42593905329704285,0.9995570778846741,9875.0,57823.0,13.0,17.0,0.9986853003501892,0.05458749458193779,0.3767535090446472,0.9881429076194763,1621.0,10213.0,46.0,96.0,0.9724054932594299
25,0.0028744875453412533,0.3688873052597046,0.9993206262588501,9870.0,57812.0,24.0,22.0,0.9975742697715759,0.055960848927497864,0.46492984890937805,0.9863895177841187,1611.0,10202.0,57.0,106.0,0.9658273458480835
26,0.0010836339788511395,0.40786677598953247,0.9998079538345337,9886.0,57829.0,7.0,6.0,0.9992924332618713,0.051106300204992294,0.46893787384033203,0.9877254366874695,1636.0,10193.0,66.0,81.0,0.9612221121788025
